LEGS,ARMS,HIP_TO_NOSE
94.64962422031707,175.94927341283085,134.62726633194652
90.05591815627248,176.17802089876176,138.94689901887673
81.43439449689501,174.48344643724062,121.39645933884637
83.6768844453972,175.11490260782662,120.50752658300695
96.566977408558,175.2413347603387,154.48554003472466
99.46104181015977,176.28254235430907,159.58540924568624
83.72436369963313,175.11930741537464,126.71569917383242
82.84798542153769,177.72839690198825,124.0379806338145
97.44148099210642,168.439573782071,140.41111189008907
103.06896803996018,172.24249207562693,143.11447974839282
92.50554056780862,172.72035658848444,110.91669419455627
85.90859449913356,172.3116994409614,111.33743908043574
99.6279903083202,171.80219548019562,136.46570312792016
84.8290402096668,170.23462370547335,137.98092160246995
95.88539812981764,176.0051278286386,121.72782044798588
89.91022421820145,175.7228882182821,122.3387249496226
80.18131338826998,179.65269482058966,137.35475405377485
85.07641994071426,178.92929866467463,144.29685385528066
92.62630991349607,176.74151315531708,123.90664752706219
87.70804877944532,176.92990322245473,123.3691282119187
88.0671009002513,173.5411830367318,122.86996791718755
91.86611290673899,177.20298146463722,121.97997584991754
95.68263355789742,173.60804845310574,132.8433332410993
85.85066367605705,172.36242833253888,133.6119606969589
87.04144253671923,178.1836115106685,127.27157852642543
88.80113011949493,179.76177064316917,123.25470055559677
100.92603800981834,167.65245991977707,140.51000707865495
93.22153732498683,167.65820439936402,140.5541573219101
89.31956321672479,174.412741307685,141.07358189578798
88.6371860162601,177.61433266607992,142.9769106208242
89.17060583196955,173.24786576140346,123.21995653827747
92.5634697603829,177.3671829003905,123.216185630448
81.66276152710756,161.45248778078323,126.13554869137457
75.13413977242342,160.8736830219963,122.6269059736057
93.3760817886569,176.19281782923457,160.12441887106186
91.26677955891091,169.69993809217962,150.29564254518675
98.71365322524413,173.45283967253954,138.92855958505638
102.75381271769922,170.6634826798134,142.13603511571864
77.06440081247958,174.4511296127832,106.42044009226663
78.06738808230037,174.43579460424945,106.14665910222456
76.28963071374551,171.05732503688677,131.29246298919102
80.8812080270537,170.79807097183237,127.34696076291107
103.07295720336725,179.37546390891842,140.0206910257687
96.08922496409399,178.90449127117816,140.01060657518912
94.56087958714633,176.6492444526226,96.90572495704089
97.88253422065603,176.37097884872946,100.21838540113686
89.69172128296347,170.0849642875509,107.72618229646686
83.00147041293302,173.14398170548247,105.04253852904526
79.94137896600108,176.06943655784576,113.00384337899729
78.24127203945073,174.70463110228047,114.24572283425404
97.06061567162612,178.11480153158038,98.00590621905609
91.0384106488815,176.23491980735838,100.63552451371592
82.74487964186041,176.83245020112662,113.4810223303121
89.26608348611255,176.3476747376417,114.1279727645913
